Sample	posterior	likelihood	prior	Tree.t:simulated_data_A.CFheight	Tree.t:simulated_data_A.CFlength	Tree.t:simulated_data_A.nConv	Tree.t:simulated_data_A.nUselessConvs	Tree.t:simulated_data_A.meanEdgeLength	Tree.t:simulated_data_A.meanDepartureHeight	Tree.t:simulated_data_A.locus.simulated_data_A.meanTractLength	Tree.t:simulated_data_A.locus.simulated_data_A.meanRegionLength	Tree.t:simulated_data_A.locus.simulated_data_A.meanStartSite	Tree.t:simulated_data_A.locus.simulated_data_A.meanEndSite	Tree.t:simulated_data_A.locus.simulated_data_A.randomStartSite	Tree.t:simulated_data_A.locus.simulated_data_A.randomEndSite	Tree.t:simulated_data_A.locus.simulated_data_B.meanTractLength	Tree.t:simulated_data_A.locus.simulated_data_B.meanRegionLength	Tree.t:simulated_data_A.locus.simulated_data_B.meanStartSite	Tree.t:simulated_data_A.locus.simulated_data_B.meanEndSite	Tree.t:simulated_data_A.locus.simulated_data_B.randomStartSite	Tree.t:simulated_data_A.locus.simulated_data_B.randomEndSite	popFinalSize.t:simulated_data_A	popGrowthRate.t:simulated_data_A
910000	-21282.243477784315	-20922.132448784723	-360.1110289995938	3.763714050446888	19.11298429622189	18	0	0.3582332901711973	1.4897990435254154	303.22222222222223	183.58333333333334	2702.1111111111113	3004.3333333333335	4058.0	4684.0	606.1111111111111	300.75	1896.0	2501.1111111111113	4421.0	3644.0	7.173017334940276	1.0589829719400428
911000	-21287.148275443957	-20927.74690382034	-359.4013716236166	3.5390398670697154	18.630605676279014	17	0	0.41060762024979014	1.042060971242238	438.375	212.3846153846154	2853.5	3290.875	2208.0	4606.0	321.3333333333333	196.08333333333334	2077.0	2397.3333333333335	3450.0	2199.0	6.0656946809310694	1.0589829719400428
912000	-21294.7696542197	-20927.40386758333	-367.3657866363733	3.694387519972634	19.176050013718754	18	0	0.40117495860539026	1.1086440833784614	393.57142857142856	250.3	2214.5714285714284	2607.1428571428573	3180.0	4758.0	309.3636363636364	138.75	2162.090909090909	2470.4545454545455	2728.0	658.0	13.049076928507374	1.1183646512552696
913000	-21282.108264047776	-20923.34591940319	-358.762344644585	3.5847521085085723	19.161789952146584	17	0	0.5398459576809814	1.0708308589128603	402.3333333333333	192.15384615384616	2936.0	3337.3333333333335	1980.0	4999.0	324.5	190.9	2173.5	2497.0	2728.0	3623.0	5.765953265415319	0.4986521030931291
914000	-21244.74204293144	-20929.526198769214	-315.21584416222635	3.3731483418391717	18.160359775377056	14	0	0.38847533228316017	0.3146429415182353	337.0	253.11111111111111	2736.714285714286	3072.714285714286	3200.0	2893.0	336.57142857142856	209.33333333333334	2160.285714285714	2495.8571428571427	2754.0	1985.0	4.391786487944521	0.8354074634881512
915000	-21188.585711138065	-20928.108455044283	-260.4772560937835	3.4396595304675848	17.772950914149728	12	0	0.5683111062466396	0.8045925665434863	274.1666666666667	224.14285714285714	2656.3333333333335	2929.5	3203.0	2272.0	334.0	218.57142857142858	2614.6666666666665	2947.6666666666665	4421.0	581.0	7.6386228630860105	1.0995057229681517
916000	-21309.12353357881	-20928.588367236065	-380.5351663427463	3.630503800935858	18.86654547697701	19	2	0.3109091152910031	0.8464417123846613	282.2	352.5	2874.2	3155.4	3203.0	4999.0	478.57142857142856	223.1764705882353	2177.0714285714284	2654.6428571428573	3657.0	2479.0	9.857911174453115	1.21289526296778
917000	-21272.88542266482	-20927.81860182477	-345.0668208400537	3.664222880290343	19.474624968309453	16	0	0.4716729159029512	0.7822238350236326	311.57142857142856	182.11111111111111	2708.1428571428573	3018.714285714286	3203.0	2283.0	344.1111111111111	162.25	2141.5555555555557	2484.6666666666665	4050.0	3564.0	11.160798495251202	0.826801749148455
918000	-21310.154205407154	-20933.863431668644	-376.29077373851	3.825979901103684	19.500568237023693	18	0	0.38056108823069873	0.8258388219749375	436.77777777777777	175.33333333333334	1954.111111111111	2389.8888888888887	351.0	2359.0	266.8888888888889	141.25	2843.0	3108.8888888888887	3195.0	2824.0	6.865686972966746	0.7059266254252868
919000	-21380.80895375405	-20932.88090141638	-447.928052337669	3.4244913079483768	18.83838042401827	23	0	0.3857372294502716	0.8793284306948048	272.0833333333333	126.125	2149.0833333333335	2420.1666666666665	4953.0	3459.0	276.45454545454544	207.25	2637.6363636363635	2913.090909090909	152.0	581.0	7.1199414788950826	0.926156562971199
920000	-21313.177610695737	-20933.690043135954	-379.48756755978275	3.70324815725472	19.016135411999276	18	0	0.5151160538674766	0.7675775090736393	444.625	294.6	2400.5	2844.125	1761.0	2297.0	334.4	231.41666666666666	2125.7	2459.1	846.0	3307.0	9.241935741127403	0.929973957695252
921000	-21349.43728903917	-20933.115791254644	-416.32149778452606	4.0627904344451515	19.631898115945376	21	1	0.3900015594144834	1.6394742092330685	400.1	214.28571428571428	2218.6	2617.7	1180.0	2223.0	349.0	147.25	2561.2727272727275	2909.2727272727275	4856.0	4999.0	8.060507378445736	0.7239373235262636
922000	-21379.004596483137	-20932.607774785283	-446.396821697855	3.7407210213668614	19.66799597668063	22	1	0.47897820458566776	0.8860353568168122	373.1666666666667	268.57142857142856	1715.8333333333333	2088.0	3199.0	2297.0	500.9375	178.15384615384616	2333.1875	2833.125	1931.0	601.0	5.603150332577157	0.44557947786958485
923000	-21344.246492414844	-20927.511821999862	-416.7346704149836	3.8269053701498033	19.25384121606856	20	0	0.38392336673933164	0.9401233361606547	346.2857142857143	208.2	1905.7142857142858	2251.0	327.0	534.0	235.23076923076923	118.61111111111111	2379.6153846153848	2613.846153846154	2631.0	4999.0	5.162721825652826	0.4668980321560446
924000	-21286.953881184065	-20923.82462980379	-363.1292513802762	3.6990901818170605	18.99300636327043	17	1	0.4482357489730367	1.2912838836611287	364.42857142857144	258.625	1888.142857142857	2251.5714285714284	1506.0	3405.0	592.4	215.7058823529412	1738.7	2330.1	2164.0	601.0	8.071877719375681	0.8538444118861117
925000	-21391.899110027727	-20930.233948271485	-461.66516175624207	3.321407160735729	17.28212599124195	24	0	0.35297448845116836	1.2146503069672094	247.4	136.1904761904762	1905.4	2151.8	328.0	1588.0	282.6666666666667	185.0	1907.4444444444443	2189.1111111111113	2717.0	3531.0	5.346453661743136	0.9829348883784546
926000	-21354.224450586084	-20928.979047306813	-425.24540327926957	3.6446847710975963	19.05770714246791	22	1	0.46721887985436966	0.958420566304364	285.25	167.66666666666666	1618.25	1902.5	3903.0	2294.0	620.3	301.0833333333333	1633.8	2253.1	4425.0	4999.0	9.384545162606585	0.9829348883784546
