Sample	posterior	likelihood	prior	Tree.t:simulated_data_A.CFheight	Tree.t:simulated_data_A.CFlength	Tree.t:simulated_data_A.nConv	Tree.t:simulated_data_A.nUselessConvs	Tree.t:simulated_data_A.meanEdgeLength	Tree.t:simulated_data_A.meanDepartureHeight	Tree.t:simulated_data_A.locus.simulated_data_A.meanTractLength	Tree.t:simulated_data_A.locus.simulated_data_A.meanRegionLength	Tree.t:simulated_data_A.locus.simulated_data_A.meanStartSite	Tree.t:simulated_data_A.locus.simulated_data_A.meanEndSite	Tree.t:simulated_data_A.locus.simulated_data_A.randomStartSite	Tree.t:simulated_data_A.locus.simulated_data_A.randomEndSite	Tree.t:simulated_data_A.locus.simulated_data_B.meanTractLength	Tree.t:simulated_data_A.locus.simulated_data_B.meanRegionLength	Tree.t:simulated_data_A.locus.simulated_data_B.meanStartSite	Tree.t:simulated_data_A.locus.simulated_data_B.meanEndSite	Tree.t:simulated_data_A.locus.simulated_data_B.randomStartSite	Tree.t:simulated_data_A.locus.simulated_data_B.randomEndSite	popFinalSize.t:simulated_data_A	popGrowthRate.t:simulated_data_A
0	-39311.36235898757	-39272.10291342458	-39.25944556299176	2.9222806543357978	10.695094683471154	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.0	0.1
1000	-22331.542995759668	-22038.267330270362	-293.27566548930605	3.3201567173848496	18.196935756838975	12	0	0.5752417330558929	1.242960264319301	513.1666666666666	296.25	2816.0	3328.1666666666665	4245.0	4326.0	745.1666666666666	294.8181818181818	1456.3333333333333	2200.5	2675.0	3242.0	1.8112007796293168	0.08886297539543801
2000	-21679.697216195826	-21559.777199506738	-119.92001668908925	3.1375872190762717	17.288764761999694	3	0	0.9941615543826083	1.5768522700413135	NaN	NaN	NaN	NaN	NaN	NaN	585.3333333333334	585.3333333333334	3289.6666666666665	3874.0	4459.0	4272.0	3.019363518899605	0.04935301739156708
3000	-21614.926815224535	-21432.59379837325	-182.33301685128262	3.80949300135565	20.691374962976976	6	0	1.3635585127907455	1.3223612378758833	208.0	208.0	2556.3333333333335	2763.3333333333335	1393.0	4999.0	570.0	381.25	2410.3333333333335	2979.3333333333335	4082.0	78.0	4.5036017120607825	0.08781916439432651
4000	-21654.068251198696	-21424.447378986864	-229.62087221183123	3.303457337938064	19.49792823516918	9	0	0.7629305901029095	1.105665103086607	149.85714285714286	126.625	3233.285714285714	3382.1428571428573	2676.0	2838.0	128.5	128.5	1091.5	1219.0	45.0	2365.0	5.705091441249616	0.10303714365277983
5000	-21584.741361265922	-21398.76941384591	-185.97194742001315	3.299427826550605	18.958085337021224	7	0	0.3742097129440255	1.1847554241519982	348.1666666666667	268.85714285714283	1661.8333333333333	2009.0	1370.0	4999.0	42.0	42.0	3563.0	3604.0	3563.0	3604.0	5.777722006172943	0.15385946393449168
6000	-21617.18085542807	-21385.52275408352	-231.65810134455003	3.956152058365992	20.295079974794213	9	0	0.3793676303599365	1.5715091831020027	582.0	582.0	2285.25	2866.25	3934.0	3707.0	451.6	451.6	2852.4	3303.0	4822.0	1937.0	5.024506972613168	0.18670301251820082
7000	-21678.90708174675	-21321.23951467249	-357.667567074263	3.544665171420733	19.821811196141383	16	0	0.5116638062615532	1.2683966153699329	409.14285714285717	241.8	2287.1428571428573	2695.285714285714	243.0	3593.0	338.55555555555554	154.23076923076923	1580.888888888889	1918.4444444444443	3422.0	1757.0	5.066149042869961	0.2809954965740556
8000	-21543.529240247586	-21301.36501441275	-242.164225834838	3.871827882380476	20.842394670994903	9	0	0.41145706032449136	0.5825781206234711	192.75	192.75	1270.25	1462.0	2082.0	2123.0	327.4	184.57142857142858	1223.2	1549.6	4391.0	696.0	3.793155606372405	0.32957109112005006
9000	-21578.897004292765	-21296.616639563836	-282.2803647289305	3.69943255977287	19.739442623271405	12	0	0.36175866943107277	0.7729729649658393	115.66666666666667	115.66666666666667	2933.6666666666665	3048.3333333333335	4588.0	3467.0	412.1111111111111	194.92857142857142	2398.3333333333335	2809.4444444444443	3436.0	681.0	6.478715883960371	0.6890577517846669
10000	-21618.83451884702	-21300.023304426235	-318.8112144207836	3.7704508864069504	19.659924490509187	15	0	0.3057362471917999	1.2206542911307683	75.25	52.4	4132.5	4206.75	3865.0	3897.0	411.54545454545456	196.25	1235.8181818181818	1646.3636363636363	4391.0	3816.0	5.634948027545527	0.5803784133139116
11000	-21551.024512620395	-21287.516737723552	-263.5077748968445	3.7765032911358056	20.107048372846396	11	0	0.4675043812636614	1.5031644885927329	52.0	52.0	2759.0	2810.0	3874.0	1723.0	442.6666666666667	115.875	803.0	1244.6666666666667	392.0	283.0	7.631305400564058	0.752902520114985
12000	-21557.86320743928	-21185.106777581594	-372.7564298576885	3.562908917434369	19.278104958234827	18	0	0.4993904196017565	1.311859437922399	175.0	175.0	1726.0	1900.0	1001.0	202.0	304.85714285714283	147.1	1960.2142857142858	2264.0714285714284	3486.0	2355.0	8.43830372363426	0.5979968061700065
13000	-21611.190997930986	-21180.582435587647	-430.6085623433395	4.043069902113043	20.24944445418641	21	0	0.4483702385667107	1.2515520047979263	186.77777777777777	164.2	2740.5555555555557	2926.3333333333335	4527.0	2771.0	398.3333333333333	135.05	1285.5	1682.8333333333333	383.0	899.0	6.327765090730421	0.788665524545329
14000	-21496.89234921584	-21184.08326464223	-312.8090845736092	3.7454355661300123	21.168740549075938	13	0	0.861041177742432	0.9908637472153642	137.25	137.25	1981.75	2118.0	1024.0	1975.0	280.22222222222223	151.07692307692307	2193.1111111111113	2472.3333333333335	4676.0	4003.0	10.368138384410736	0.600213421647023
15000	-21521.71814341963	-21182.432722775004	-339.2854206446299	3.715667266482583	19.809865474066292	15	0	0.7107912031103909	1.4814577026184454	376.14285714285717	254.33333333333334	2058.4285714285716	2433.5714285714284	910.0	3577.0	553.125	233.78571428571428	1643.25	2195.375	778.0	4691.0	10.567848081129082	0.8376242338470709
16000	-21485.185357028182	-21167.471260191793	-317.71409683638944	3.831151405152242	19.9121194028148	14	0	0.7696513870403391	1.5323462974293065	354.0	190.0	1628.6666666666667	1981.6666666666667	1270.0	4522.0	342.75	187.58333333333334	1806.125	2147.875	2836.0	1072.0	9.556386088193511	0.8203953849027616
17000	-21432.535145298967	-21154.162600403717	-278.37254489524855	3.602197823543924	20.360208856124103	13	0	0.4348096171096735	1.6506083990904161	113.5	113.5	3095.6666666666665	3208.1666666666665	2822.0	2098.0	311.85714285714283	147.7	1440.7142857142858	1751.5714285714287	0.0	4999.0	16.98145898783212	1.2281235607338763
18000	-21484.068361262092	-21125.46370895352	-358.60465230857073	3.826575245937116	20.788701881612894	16	0	0.7215254593122895	0.7339100833569977	251.25	251.25	3011.0	3261.25	4605.0	4578.0	535.75	237.1	2107.6666666666665	2642.4166666666665	71.0	2565.0	19.693543595950636	1.16891241030323
19000	-21495.256348223724	-21131.84326300175	-363.41308522197676	3.8001020519893927	20.67196697359321	16	0	0.6833110441730865	1.2694018433628333	553.5	363.0	2467.75	3020.25	4061.0	3252.0	546.0	176.0952380952381	1297.75	1842.75	307.0	1713.0	12.430469895318108	0.9123708188644701
20000	-21399.02668865251	-21120.558247012697	-278.4684416398118	3.5172155969106127	19.13817627686361	11	0	0.5381122552148686	0.6021732264321199	222.66666666666666	158.5	3784.0	4005.6666666666665	4061.0	4094.0	616.0	276.46153846153845	1640.0	2255.0	365.0	699.0	10.004143009568155	0.6140377014988782
21000	-21496.452160981673	-21085.18830487477	-411.26385610690267	3.6836977652820155	19.631078362895042	20	0	0.5274270335901635	1.4408239067907567	194.0	133.5	1678.7777777777778	1871.7777777777778	2210.0	4557.0	436.6363636363636	177.88888888888889	1280.3636363636363	1716.0	54.0	2565.0	7.192082660245468	0.7856272247722386
22000	-21353.420715892877	-21082.245520385542	-271.1751955073328	4.055787771157503	20.812219507434204	11	0	0.7800241982233775	1.0770854416952635	352.3333333333333	352.3333333333333	2128.3333333333335	2479.6666666666665	4033.0	2240.0	482.5	264.25	1711.875	2193.375	329.0	467.0	9.178966527011948	0.7360649235664762
23000	-21375.322653952844	-21038.34530048576	-336.9773534670855	3.8672099923186387	19.873008435385405	15	0	0.44273423885659646	1.0524544215616338	413.14285714285717	310.3333333333333	2582.0	2994.1428571428573	3080.0	4880.0	499.75	251.75	1410.75	1909.5	71.0	814.0	7.5479546763276755	0.676759659737629
24000	-21511.930937922403	-21040.622071229358	-471.3088666930451	3.8649125965741784	19.798579486717856	23	0	0.5270754103856549	0.6883866435020876	268.54545454545456	164.71428571428572	2438.7272727272725	2706.2727272727275	2837.0	3192.0	362.9166666666667	177.83333333333334	1771.25	2133.1666666666665	4799.0	908.0	10.114268511524479	0.9039728364639859
25000	-21488.31484410363	-21041.283806601597	-447.03103750202905	3.7095570872030956	19.63989601145658	22	0	0.3305944115880577	1.3107328451094473	535.625	285.2307692307692	1873.5	2408.125	1447.0	4210.0	436.57142857142856	187.77272727272728	1938.4285714285713	2374.0	1968.0	319.0	8.91418772570407	1.1580869539988263
26000	-21440.190655161805	-21037.797395024732	-402.39326013707074	3.638116956602108	19.304602567656342	19	0	0.5326514611966436	1.163869393197613	335.14285714285717	232.88888888888889	2789.285714285714	3123.4285714285716	4049.0	2274.0	325.25	153.33333333333334	2297.8333333333335	2622.0833333333335	336.0	4999.0	9.019874194527713	0.8591616143442676
27000	-21452.5343505769	-21029.285022584118	-423.24932799278287	3.7504253582491396	19.928880227459832	20	0	0.6253467149640655	1.1617159622846551	213.11111111111111	140.41666666666666	2199.222222222222	2411.3333333333335	3463.0	3539.0	262.1818181818182	135.5	2381.181818181818	2642.3636363636365	1811.0	656.0	8.608109513001056	0.8959903733427254
28000	-21426.208174018648	-21029.346289169574	-396.86188484907444	3.6338710100073843	19.400443423638187	19	0	0.5483897357750938	0.8709730762193567	371.55555555555554	253.58333333333334	3036.1111111111113	3406.6666666666665	4185.0	2274.0	397.5	219.26666666666668	2206.0	2602.5	45.0	3071.0	6.989221127607859	0.7453092355534251
29000	-21473.43983781393	-21027.01290224644	-446.42693556749225	3.617433801474207	19.17240686428271	21	1	0.6913473009364891	1.168838248802026	391.3	167.3125	2533.2	2923.5	80.0	112.0	390.90909090909093	161.76470588235293	2310.2727272727275	2700.181818181818	611.0	4999.0	7.388019895010742	0.6380316537101912
30000	-21437.240627996576	-21027.198202526084	-410.0424254704924	3.849818652502498	20.17302374233169	19	0	0.6200101472610352	0.9375132096046276	278.5	102.0	2969.375	3246.875	1817.0	4264.0	299.27272727272725	148.35294117647058	1763.3636363636363	2061.6363636363635	4835.0	681.0	7.650622178095204	0.5863267079253411
31000	-21370.386022419894	-21031.807821928385	-338.57820049150797	3.7349639307282962	19.162831515029342	16	0	0.5689331617826856	1.3739164947288653	259.5	186.4	2376.5	2635.0	1799.0	1431.0	424.3333333333333	184.65	1571.75	1995.0833333333333	1317.0	1988.0	8.254027059134145	0.7889621758482359
32000	-21400.11056388619	-21032.666346130136	-367.4442177560563	3.4002599041340638	18.92999488350507	18	0	0.4751044648904739	1.044442848892927	112.0	112.0	3318.6	3429.6	3129.0	3755.0	376.2307692307692	118.27272727272727	1766.6923076923076	2141.923076923077	0.0	4963.0	8.561450953481645	0.7543418287411416
33000	-21379.95561731077	-21035.391117341293	-344.56449996947657	3.5233144468583606	18.40390247186091	16	0	0.4900887351220638	0.6971050343630565	230.2	205.2	2291.6	2520.8	1799.0	4611.0	261.09090909090907	115.0	1564.8181818181818	1824.909090909091	3058.0	4963.0	6.746232253681295	0.9526644326526995
34000	-21392.122834477515	-21037.62075597869	-354.50207849882673	3.227165972471626	18.00648882554895	17	0	0.4664586563317176	1.1865549381303344	286.125	170.45454545454547	2455.375	2740.5	181.0	3694.0	251.66666666666666	131.53846153846155	2000.0	2250.6666666666665	4395.0	3438.0	8.633119005602092	1.1023138403033064
35000	-21340.7474212527	-21035.631273695617	-305.11614755708405	3.9300095777371498	20.47672705886923	13	0	0.5227583677574924	0.9249034544193192	513.1666666666666	305.25	1661.0	2173.1666666666665	0.0	1162.0	442.7142857142857	212.0909090909091	2081.1428571428573	2522.8571428571427	2343.0	4956.0	15.121472080569667	1.251964552372028
36000	-21258.428496395285	-21034.39154633665	-224.03695005863585	4.013446443951107	19.87085655658048	9	0	0.6797705191025307	0.9652246166193057	951.6666666666666	594.75	1038.6666666666667	1989.3333333333333	1789.0	2264.0	334.6666666666667	169.77777777777777	2344.0	2677.6666666666665	4368.0	299.0	12.959251838099636	1.0206466648444414
37000	-21342.056903920053	-21018.727913741597	-323.328990178457	3.4995877904221975	18.155372338127027	16	0	0.3585093103972313	1.3119206189627146	1140.1666666666667	337.0	1538.6666666666667	2677.8333333333335	0.0	2264.0	467.3	204.8	1868.2	2334.5	4835.0	873.0	7.620286544464315	0.8022016270130401
38000	-21337.385138568658	-21023.295679554205	-314.0894590144517	3.991130848182322	20.152209463882034	15	0	0.3503936634680158	1.1921462681769748	751.0	526.0	917.3333333333334	1667.3333333333333	963.0	801.0	336.8333333333333	174.5	2223.4166666666665	2559.25	3284.0	914.0	6.754326543007506	0.7854920724996644
39000	-21457.554761522857	-21017.353032951272	-440.2017285715842	3.8420190311605995	20.493848903728807	22	0	0.4773074711467736	1.3631399327738316	625.1538461538462	177.54545454545453	1514.076923076923	2138.230769230769	2009.0	4999.0	272.6666666666667	112.5	2051.0	2322.6666666666665	4382.0	4999.0	5.472468169939147	0.599081736552949
40000	-21349.257781553762	-21011.83330467581	-337.42447687795186	3.5782827577371723	19.37078288683763	17	0	0.5052937790237747	1.1749779334247048	578.25	578.25	1682.5	2259.75	35.0	4999.0	295.2307692307692	122.05555555555556	2515.923076923077	2810.153846153846	233.0	4999.0	7.059204657261033	0.7022616828793653
41000	-21421.491333879792	-21004.910754557008	-416.5805793227861	3.632950025245032	19.097778849991013	22	1	0.488730041909005	0.9344233261584687	400.125	247.1	2396.375	2795.5	1802.0	2198.0	304.0	135.1764705882353	2072.1428571428573	2375.1428571428573	4057.0	297.0	4.17177637598071	0.47101805863118434
42000	-21331.051292831482	-21004.572754743145	-326.4785380883368	3.686646018189514	19.40657211176729	16	1	0.4731741573410367	1.054656686102428	573.8	417.6666666666667	2626.0	3198.8	3989.0	2277.0	434.45454545454544	195.73333333333332	1654.3636363636363	2087.818181818182	4708.0	893.0	8.958690743338833	0.7042857039626588
43000	-21390.049970627366	-21007.10970654535	-382.9402640820141	3.5626645743654737	19.211293005212813	20	1	0.4194555602094784	0.9855814957805743	399.0	343.0	2352.875	2750.875	1219.0	3158.0	293.8333333333333	86.55555555555556	1571.75	1864.5833333333333	0.0	208.0	8.21350817113285	0.9109202601941447
44000	-21357.271817556986	-21014.22079297669	-343.0510245802969	3.2887716321640843	18.61130542410651	17	0	0.47143046990597964	0.7789545748533098	267.6666666666667	267.6666666666667	1915.6666666666667	2182.3333333333335	1802.0	1606.0	298.72727272727275	106.93333333333334	1995.1818181818182	2292.909090909091	0.0	4950.0	6.120767883895245	0.9006779272834685
45000	-21403.551386990934	-20995.12154844439	-408.42983854654545	3.7690148617844046	20.129307436006005	20	0	0.4868543294491302	1.305436797453726	208.125	152.1	3126.75	3333.875	4058.0	2902.0	447.8333333333333	183.31578947368422	2046.5	2493.3333333333335	229.0	858.0	9.142101177424228	0.985746668517876
46000	-21379.254516728553	-20992.702169469936	-386.55234725861845	3.8867358893716144	19.995452308982635	19	0	0.40445792880486475	1.182157158907135	405.8333333333333	256.125	2963.0	3367.8333333333335	1282.0	4286.0	410.9230769230769	156.13636363636363	1780.6153846153845	2190.5384615384614	0.0	4963.0	8.031897012754069	0.9704510480630281
47000	-21344.584365680563	-21000.06359569716	-344.52076998340135	3.648167888285617	19.675015383625528	16	0	0.4641887293275416	0.9632203806727803	651.1428571428571	338.09090909090907	2220.8571428571427	2871.0	2198.0	2277.0	302.77777777777777	122.0	1705.4444444444443	2007.2222222222222	4297.0	270.0	11.113772675664487	1.0680966542347672
48000	-21343.28565419855	-20993.768271453428	-349.51738274512087	3.8229430141285676	18.98524023800651	17	1	0.37481178828898876	0.9570141720263083	402.5	197.0	1365.25	1766.75	1802.0	2336.0	276.2307692307692	170.0625	2038.7692307692307	2314.0	3810.0	297.0	6.470088384557117	0.9670526938786271
49000	-21397.830868351604	-20986.997343638563	-410.83352471304113	3.6714320539470626	19.89842695096671	21	0	0.4129034635429895	1.0328030677520421	396.2857142857143	273.25	1935.5714285714287	2330.8571428571427	1441.0	3636.0	328.0	150.3	2038.0	2365.0	4393.0	894.0	6.521242912557549	0.6993835503184261
50000	-21283.943088085405	-20992.14516997752	-291.79791810788396	3.545779721175009	17.955088864565873	14	0	0.4551149413928793	0.9480914783113191	376.6666666666667	376.6666666666667	3261.0	3636.6666666666665	4625.0	4999.0	275.54545454545456	113.375	2175.0	2449.5454545454545	0.0	4441.0	6.50040086327126	0.9624266636865473
51000	-21341.650971268293	-20992.1014944915	-349.54947677679104	3.424342107019722	18.669111099631362	17	0	0.33601064155653126	0.9938182043277124	234.5	131.5	2662.3333333333335	2895.8333333333335	3976.0	3658.0	486.0	191.625	1922.2727272727273	2407.2727272727275	290.0	322.0	8.498255251614054	1.1519629040238373
52000	-21312.860224118318	-20999.488879957655	-313.3713441606642	3.4403622878837488	19.06314109670528	15	0	0.30632392786584256	0.9116675863139995	231.0	146.8	2535.25	2765.25	1567.0	1698.0	381.1818181818182	185.47058823529412	1563.090909090909	1943.2727272727273	727.0	760.0	12.19206664602348	1.2454612069720052
53000	-21359.39593875007	-20993.198491334922	-366.1974474151471	3.575075406883321	19.731240517953555	18	1	0.47542216776047613	1.2022588321296974	282.77777777777777	124.76923076923077	2643.0	2924.777777777778	1792.0	4724.0	293.0	115.6923076923077	2189.8888888888887	2481.8888888888887	4522.0	4745.0	10.824804917375511	1.1386022223654464
54000	-21372.81694295818	-20986.49591428394	-386.3210286742405	3.868218028677677	18.992259221996065	19	0	0.40022771736969676	1.0599132884538793	495.1111111111111	258.57142857142856	1626.6666666666667	2120.777777777778	766.0	693.0	429.3	189.66666666666666	1691.8	2120.1	2744.0	275.0	7.93988176974201	0.9832454552254429
55000	-21275.665968930745	-20981.328104309992	-294.33786462075443	3.349451391796684	18.17366447079576	14	0	0.4266142687655301	0.5273365510987713	426.5	325.4	1466.5	1892.0	1785.0	1411.0	397.8	103.6	1418.8	1815.6	0.0	119.0	7.204848283323241	0.7208561662377918
56000	-21320.527939211323	-20989.699720053984	-330.8282191573368	3.4825421754412473	18.53614817060799	16	1	0.41097514482831554	0.7610828873379066	676.0	676.0	1668.0	2343.0	1785.0	2292.0	414.38461538461536	177.05555555555554	1804.8461538461538	2218.230769230769	4886.0	591.0	4.2680541818232545	0.665061794353923
57000	-21261.677387240998	-20986.310149537545	-275.3672377034525	3.8680050262800885	18.98902701023063	13	0	0.5052272743142969	0.9827391802028026	593.0	444.5	1494.0	2086.0	4146.0	1572.0	387.875	150.5	2201.5	2588.375	285.0	290.0	5.699467157707374	0.6666719563492937
58000	-21263.78666837089	-20984.380180465057	-279.40648790583066	3.7170416698480264	19.897282986831133	13	0	0.5551744315950367	1.0269136952786786	687.75	687.75	2239.0	2925.75	3779.0	4999.0	395.55555555555554	144.84615384615384	1301.2222222222222	1695.7777777777778	1081.0	288.0	5.804536567430575	0.510871735520254
59000	-21228.40084556825	-20982.464836274514	-245.93600929373608	3.6243700599738555	19.466352745617677	11	0	0.4972535945609659	0.881734324734391	1229.6666666666667	799.0	1278.6666666666667	2507.3333333333335	1793.0	3815.0	277.375	155.8	1377.0	1653.375	4901.0	628.0	11.315381409898038	0.8349679252638064
60000	-21333.25838463276	-20988.136112336397	-345.1222722963635	3.6307160253179434	19.931557006165278	17	0	0.4170093204636816	1.395354209952341	486.8	164.41176470588235	1501.9	1987.7	1054.0	3821.0	365.2857142857143	172.88888888888889	1540.0	1904.2857142857142	4659.0	4902.0	7.540649088209122	0.7439320051395742
61000	-21456.70312785974	-20985.204346696948	-471.49878116279007	3.9517491193578085	20.408864411045194	25	0	0.286520969288135	1.7849341703405832	550.5	238.69230769230768	1597.375	2146.875	2767.0	2966.0	297.29411764705884	100.92592592592592	1813.4705882352941	2109.764705882353	4659.0	4962.0	6.1719005490787175	0.7635218388637892
62000	-21445.612358075905	-20981.118819455827	-464.49353862007877	3.5862402894848	19.98993723297317	24	0	0.46605018080560257	1.055771365090048	498.0833333333333	193.21052631578948	2309.3333333333335	2806.4166666666665	2860.0	1437.0	398.8333333333333	110.83333333333333	1825.5	2223.3333333333335	313.0	2843.0	6.958481464901417	0.7821663392321386
63000	-21368.239573243744	-20983.91551369112	-384.32405955262345	3.6668699347843985	19.428401045398566	18	0	0.6691042488964886	1.153085597079555	644.3333333333334	246.2	1867.4444444444443	2510.777777777778	741.0	4923.0	405.6666666666667	229.5	2180.5555555555557	2585.222222222222	1285.0	4999.0	6.345836757506591	0.5320631266319631
64000	-21329.61064321822	-20982.86423211273	-346.74641110549015	3.8336377656919276	19.587677122540278	17	0	0.5344909292631601	1.4555529138073096	497.1111111111111	307.0769230769231	2424.777777777778	2920.8888888888887	2398.0	4377.0	435.75	177.72727272727272	2389.25	2824.0	332.0	288.0	7.925281016947479	0.7420125319432036
65000	-21299.460432998105	-20982.57410841145	-316.88632458665734	3.483895123489269	18.652047924574855	15	1	0.4969464853670085	0.9933946376970818	440.5	317.55555555555554	2269.25	2708.75	504.0	3545.0	374.0	191.88888888888889	2204.8571428571427	2577.8571428571427	0.0	662.0	4.585207109951388	0.5266455317401066
66000	-21357.912553051614	-20984.667077562906	-373.2454754887091	3.71205425750384	18.694084508732477	19	0	0.49517667273569665	1.1487340104614134	378.90909090909093	188.94117647058823	1798.0	2175.909090909091	3907.0	4383.0	475.125	209.54545454545453	1768.5	2242.625	0.0	4999.0	5.675147224649261	0.6205887019368388
67000	-21405.163027083894	-20994.859772549135	-410.3032545347607	3.606968579694794	18.72946895633134	20	1	0.570541905611747	1.5464290792743276	554.4545454545455	257.0	2045.909090909091	2599.3636363636365	173.0	2268.0	289.0	134.41666666666666	1923.6666666666667	2211.6666666666665	4420.0	917.0	5.539805520501139	0.46725498884846844
68000	-21392.44743012895	-20985.96023230948	-406.48719781946636	3.791960096862026	19.52109444863337	20	0	0.6319968004631547	1.5187599470571191	442.3	178.5	1947.7	2389.0	1800.0	712.0	352.4	156.92857142857142	2363.5	2714.9	699.0	3082.0	5.57089570795198	0.4135572817813313
69000	-21285.15174063327	-20984.11770269674	-301.0340379365289	3.7381605738340995	19.5203646929033	14	0	0.5949255822740229	1.1718134865166712	514.0	374.7142857142857	2202.5	2715.5	1800.0	3124.0	385.0	179.36363636363637	2037.125	2421.125	4679.0	267.0	5.841743642043682	0.6528121961922067
70000	-21372.336957414722	-20979.351073111236	-392.98588430348383	3.6517495830004303	19.338939628299798	20	0	0.571005794352997	1.0942619455566445	445.0	312.6666666666667	1744.3	2188.3	2444.0	39.0	399.2	244.58333333333334	2252.5	2650.7	4610.0	4072.0	7.207365477745426	0.4202252047741522
71000	-21343.62010187217	-20971.28011736538	-372.33998450679013	3.647310260557988	19.32800826105579	19	0	0.7249404961647622	1.157407330942738	383.375	247.63636363636363	3055.625	3438.0	4992.0	3870.0	344.27272727272725	180.76923076923077	1971.8181818181818	2315.090909090909	775.0	267.0	5.585023148578051	0.43444393978322393
72000	-21370.91873114119	-20975.709738684665	-395.20899245652777	3.678452867555687	19.696812387328375	20	0	0.6620957662048186	1.3449860739878794	422.22222222222223	274.0	1739.111111111111	2160.3333333333335	4441.0	141.0	304.72727272727275	144.0	1721.0	2024.7272727272727	936.0	651.0	4.11327867628116	0.32474218720853576
73000	-21292.96086963504	-20966.55624955997	-326.4046200750709	3.871615830682493	19.569864787867512	15	0	0.6482362014636784	0.7085682643525906	538.3333333333334	235.92307692307693	2912.0	3449.3333333333335	3189.0	3277.0	355.0	222.42857142857142	1537.0	1891.0	0.0	4999.0	4.555248485819022	0.34090264874884896
74000	-21271.62953598094	-20964.083256691432	-307.54627928950845	3.5918061233944205	18.781381794356708	15	0	0.6352328126088398	0.7373078724830161	403.85714285714283	345.125	2584.5714285714284	2987.4285714285716	441.0	2274.0	328.625	141.9090909090909	757.125	1084.75	0.0	1023.0	4.7830140820399585	0.3730387404189339
75000	-21334.321175165176	-20960.81390581029	-373.5072693548855	3.6633671110421173	19.23367847243553	18	0	0.6048528434198478	1.17138342247952	601.8571428571429	313.1818181818182	2860.0	3460.8571428571427	2151.0	4652.0	310.8181818181818	133.2	2256.181818181818	2566.0	345.0	110.0	5.543158356757537	0.38059123885885093
76000	-21433.868641010988	-20969.25619458114	-464.6124464298492	3.582196075300507	19.146650757298236	24	0	0.5782171304941409	1.3798145488760403	458.8888888888889	305.4166666666667	1970.6666666666667	2428.5555555555557	1579.0	4061.0	310.46666666666664	167.9090909090909	1890.2666666666667	2199.733333333333	360.0	649.0	4.6213695638169785	0.3254272788680845
77000	-21327.56034666902	-20964.107754962657	-363.45259170636325	3.6356951805832898	18.93205492544034	17	0	0.5972688519271516	0.9558089940260522	791.5	350.9	1360.6666666666667	2151.1666666666665	1178.0	1399.0	306.27272727272725	124.11111111111111	2056.6363636363635	2361.909090909091	360.0	2002.0	4.8097043296354745	0.43899541177594886
78000	-21334.875728729923	-20973.893815995267	-360.9819127346572	3.727246530140409	19.2543024998468	18	0	0.7692077792702716	1.4911625494428966	560.0	220.21428571428572	1685.0	2244.0	4848.0	321.0	322.77777777777777	171.41666666666666	1620.6666666666667	1942.4444444444443	2551.0	2629.0	4.712742309683193	0.43974031708775957
79000	-21330.63917786906	-20966.143607458594	-364.4955704104635	3.415142463194795	18.01593232461745	18	0	0.8624378487504836	1.1219134741818306	228.5	176.0	2922.3	3149.8	4951.0	148.0	445.125	202.0909090909091	1870.875	2315.0	4724.0	4389.0	6.1408488661515	0.32177182632306156
80000	-21261.718325806185	-20959.060761897497	-302.657563908688	3.660935801988409	19.07470396928088	14	0	0.7689988533634894	1.1417317631870005	371.5	309.22222222222223	2427.875	2798.375	471.0	3370.0	484.1666666666667	251.77777777777777	1306.1666666666667	1789.3333333333333	4420.0	4999.0	6.466768258469754	0.4162349686797456
81000	-21287.525862722174	-20959.616307298733	-327.9095554234408	3.5315541306468923	18.037221969150046	16	1	0.5072988528067823	1.4030479486664789	332.6666666666667	288.22222222222223	2275.0	2606.6666666666665	3415.0	3734.0	489.0	228.3	1975.7142857142858	2463.714285714286	129.0	302.0	5.971271678587752	0.6067318412486514
82000	-21397.82581003145	-20959.971309606095	-437.8545004253539	4.173453541363887	19.525883748522688	23	0	0.47408604338009513	1.5523927537858566	365.46153846153845	157.38095238095238	2240.923076923077	2605.3846153846152	449.0	512.0	500.8	174.3846153846154	1903.4	2403.2	0.0	4999.0	6.120309618792711	0.5258856589819838
83000	-21364.89812269351	-20963.85871561249	-401.03940708102147	3.5693802268177524	18.060754504644	21	0	0.3509847568552309	0.9993752259585976	274.35714285714283	141.31578947368422	2730.8571428571427	3004.214285714286	1908.0	1590.0	388.57142857142856	227.88888888888889	2146.285714285714	2533.8571428571427	0.0	799.0	4.917265363872716	0.5804817554587145
84000	-21249.266241788006	-20965.590710621862	-283.6755311661431	3.706474233372505	18.82381547593063	13	0	0.5367157853891164	1.0659735148626401	390.2857142857143	317.25	2578.1428571428573	2967.4285714285716	2686.0	2276.0	343.0	153.33333333333334	1531.5	1873.5	90.0	643.0	5.273651330199335	0.9246865920019689
85000	-21380.699284411894	-20963.260597705128	-417.43868670676534	3.7040334928060576	19.522110852931952	21	0	0.6462695517129053	1.0127329089393993	349.77777777777777	213.66666666666666	2634.5555555555557	2983.3333333333335	4066.0	1653.0	518.3333333333334	175.35294117647058	1830.1666666666667	2347.5	1453.0	3885.0	8.462036239821092	0.8098657311106795
