Sample	posterior	likelihood	prior	Tree.t:UUNS01000001.CFheight	Tree.t:UUNS01000001.CFlength	Tree.t:UUNS01000001.nConv	Tree.t:UUNS01000001.nUselessConvs	Tree.t:UUNS01000001.meanEdgeLength	Tree.t:UUNS01000001.meanDepartureHeight	Tree.t:UUNS01000001.locus.UUNS01000001.meanTractLength	Tree.t:UUNS01000001.locus.UUNS01000001.meanRegionLength	Tree.t:UUNS01000001.locus.UUNS01000001.meanStartSite	Tree.t:UUNS01000001.locus.UUNS01000001.meanEndSite	Tree.t:UUNS01000001.locus.UUNS01000001.randomStartSite	Tree.t:UUNS01000001.locus.UUNS01000001.randomEndSite	Tree.t:UUNS01000001.locus.UUNS01000002.meanTractLength	Tree.t:UUNS01000001.locus.UUNS01000002.meanRegionLength	Tree.t:UUNS01000001.locus.UUNS01000002.meanStartSite	Tree.t:UUNS01000001.locus.UUNS01000002.meanEndSite	Tree.t:UUNS01000001.locus.UUNS01000002.randomStartSite	Tree.t:UUNS01000001.locus.UUNS01000002.randomEndSite	Tree.t:UUNS01000001.locus.UUNS01000012.meanTractLength	Tree.t:UUNS01000001.locus.UUNS01000012.meanRegionLength	Tree.t:UUNS01000001.locus.UUNS01000012.meanStartSite	Tree.t:UUNS01000001.locus.UUNS01000012.meanEndSite	Tree.t:UUNS01000001.locus.UUNS01000012.randomStartSite	Tree.t:UUNS01000001.locus.UUNS01000012.randomEndSite	Tree.t:UUNS01000001.locus.UUNS01000014.meanTractLength	Tree.t:UUNS01000001.locus.UUNS01000014.meanRegionLength	Tree.t:UUNS01000001.locus.UUNS01000014.meanStartSite	Tree.t:UUNS01000001.locus.UUNS01000014.meanEndSite	Tree.t:UUNS01000001.locus.UUNS01000014.randomStartSite	Tree.t:UUNS01000001.locus.UUNS01000014.randomEndSite	Tree.t:UUNS01000001.locus.UUNS01000015.meanTractLength	Tree.t:UUNS01000001.locus.UUNS01000015.meanRegionLength	Tree.t:UUNS01000001.locus.UUNS01000015.meanStartSite	Tree.t:UUNS01000001.locus.UUNS01000015.meanEndSite	Tree.t:UUNS01000001.locus.UUNS01000015.randomStartSite	Tree.t:UUNS01000001.locus.UUNS01000015.randomEndSite	Tree.t:UUNS01000001.locus.UUNS01000017.meanTractLength	Tree.t:UUNS01000001.locus.UUNS01000017.meanRegionLength	Tree.t:UUNS01000001.locus.UUNS01000017.meanStartSite	Tree.t:UUNS01000001.locus.UUNS01000017.meanEndSite	Tree.t:UUNS01000001.locus.UUNS01000017.randomStartSite	Tree.t:UUNS01000001.locus.UUNS01000017.randomEndSite	popFinalSize.t:UUNS01000001	popGrowthRate.t:UUNS01000001
1621000	-2552.2846066178063	-2477.167226756939	-75.11737986086763	0.6392344433450889	1.8405555775244495	3	0	87.8899043619466	0.3200334835166992	519.0	519.0	542.0	1060.0	1060.0	943.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.0	16.0	0.0	15.0	0.0	15.0	NaN	NaN	NaN	NaN	NaN	NaN	41.38083195474972	0.008984577747515899
1622000	-2556.268927025206	-2477.91232719293	-78.35659983227583	1.9690198875034113	4.315243239432029	3	0	98.65434259480897	0.4009823060672814	518.5	518.5	542.0	1059.5	1060.0	942.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.0	16.0	0.0	15.0	0.0	15.0	NaN	NaN	NaN	NaN	NaN	NaN	97.87604539131686	0.007130682820200206
1623000	-2565.46944910942	-2482.3998839915357	-83.06956511788424	1.1209304579887203	3.0317156847565125	4	0	56.85211474171427	0.4707478476779747	919.0	919.0	15.0	933.0	15.0	933.0	34.0	34.0	0.0	33.0	0.0	33.0	433.0	433.0	0.0	432.0	0.0	432.0	NaN	NaN	NaN	NaN	NaN	NaN	16.0	16.0	0.0	15.0	0.0	15.0	NaN	NaN	NaN	NaN	NaN	NaN	63.442838209680275	0.004359659681916807
1624000	-2602.0310322433024	-2479.3814929982386	-122.64953924506403	1.7391162491783232	3.7063353428291475	5	0	100.34720585801199	0.8737038341262743	459.75	168.0	402.75	861.5	19.0	868.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	54.0	54.0	0.0	53.0	0.0	53.0	97.79829744487483	0.0011679250659207287
1625000	-2545.207767858373	-2479.7419588158946	-65.46580904247827	2.7615566920144845	6.007944849126964	2	0	148.8506758749766	1.5351363335140755	933.0	933.0	13.0	945.0	13.0	945.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.0	16.0	0.0	15.0	0.0	15.0	NaN	NaN	NaN	NaN	NaN	NaN	59.062166954614064	4.184373025890789E-4
1626000	-2610.6124982784318	-2480.6289952439743	-129.9835030344575	2.3431605913824636	5.814965989005689	6	1	121.69100488274371	1.676755262682832	341.0	269.0	290.75	630.75	1059.0	1177.0	49.0	49.0	0.0	48.0	0.0	48.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.0	16.0	0.0	15.0	0.0	15.0	NaN	NaN	NaN	NaN	NaN	NaN	261.1345345800623	0.006594578003743806
1627000	-2560.3444111279487	-2474.6953160194266	-85.64909510852206	2.122134934721396	4.5416515624543425	3	0	192.60596461560462	1.0771583711044526	498.0	498.0	562.5	1059.5	20.0	1177.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.0	16.0	0.0	15.0	0.0	15.0	NaN	NaN	NaN	NaN	NaN	NaN	202.18031295334322	0.007115578588805335
1628000	-2575.9917857768723	-2482.045155620167	-93.94663015670544	3.6107944505016065	8.266533687396196	3	0	191.67361712516222	1.4047256722296844	464.0	307.0	238.0	701.0	24.0	944.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.0	16.0	0.0	15.0	0.0	15.0	NaN	NaN	NaN	NaN	NaN	NaN	246.87947290320676	0.007115578588805335
1629000	-2546.5674296693996	-2486.1216139994417	-60.44581566995805	1.8591808612936584	4.7981343135968775	1	0	201.61492987458598	0.5755695426285834	916.0	916.0	22.0	937.0	22.0	937.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	276.38734265128824	0.005323804337440146
1630000	-2579.5886915887277	-2485.4286311551537	-94.16006043357386	3.678018666441434	8.34891062821395	3	0	135.22817120745535	1.9402772953548417	523.5	315.0	9.5	532.0	19.0	944.0	NaN	NaN	NaN	NaN	NaN	NaN	207.0	207.0	0.0	206.0	0.0	206.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	360.99937604164677	0.00592152383670833
